in.position.x,in.position.y,in.forward_vector.x,in.forward_vector.y,in.speed_ms,in.steering_angle_deg,vaste.whalbase_position.x,vaste.whalbase_position.y,vaste.front_axle_position.x,vaste.front_axle_position.y,vaste.rear_axle_position.x,vaste.rear_axle_position.y,vaste.forward_vector.x,vaste.forward_vector.y,vaste.result.acceleration,vaste.result.steering_angle_deg,control_point_distance_to_path
21.4754667,20.2136901,-0.6895315,0.7242557,0.8465116,1.0971904,21.4754667,20.2136901,20.1653568,21.5897759,22.7855765,18.8376043,-0.6895315,0.7242557,0.7178295,0.9823304,-0.2855971
21.4754667,20.2136901,-0.6895315,0.7242557,0.8465116,1.0971904,21.4754667,20.2136901,20.1653568,21.5897759,22.7855765,18.8376043,-0.6895315,0.7242557,0.7178295,0.9823304,-0.2855971
21.4475421,20.2460794,-0.6893801,0.7243998,0.8607864,1.0301602,21.4475421,20.2460794,20.1377200,21.6224391,22.7573642,18.8697197,-0.6893801,0.7243998,0.7130712,0.9511437,-0.2834115
21.4475421,20.2460794,-0.6893801,0.7243998,0.8607864,1.0301602,21.4475421,20.2460794,20.1377200,21.6224391,22.7573642,18.8697197,-0.6893801,0.7243998,0.7130712,0.9511437,-0.2834115
21.4475421,20.2460794,-0.6892350,0.7245379,0.8748285,0.9823303,21.4475421,20.2460794,20.1379957,21.6227014,22.7570886,18.8694574,-0.6892350,0.7245379,0.7083905,0.7411927,-0.2830325
21.4191423,20.2789995,-0.6892350,0.7245379,0.8748285,0.9823303,21.4191423,20.2789995,20.1095958,21.6556215,22.7286888,18.9023775,-0.6892350,0.7245379,0.7083905,0.9355785,-0.2811993
21.4191423,20.2789995,-0.6892350,0.7245379,0.8748285,0.9823303,21.4191423,20.2789995,20.1095958,21.6556215,22.7286888,18.9023775,-0.6892350,0.7245379,0.7083905,0.9355785,-0.2811993
21.3902880,20.3124438,-0.6890918,0.7246741,0.8886418,0.9511437,21.3902880,20.3124438,20.0810136,21.6893246,22.6995623,18.9355630,-0.6890918,0.7246741,0.7037861,0.9329011,-0.2789611
21.3902880,20.3124438,-0.6890918,0.7246741,0.8886418,0.9511437,21.3902880,20.3124438,20.0810136,21.6893246,22.6995623,18.9355630,-0.6890918,0.7246741,0.7037861,0.9329011,-0.2789611
21.3902880,20.3124438,-0.6889499,0.7248090,0.9022304,0.9355783,21.3902880,20.3124438,20.0812832,21.6895809,22.6992928,18.9353068,-0.6889499,0.7248090,0.6992565,0.7409508,-0.2785907
21.3609825,20.3464026,-0.6889499,0.7248090,0.9022304,0.9355783,21.3609825,20.3464026,20.0519777,21.7235397,22.6699873,18.9692656,-0.6889499,0.7248090,0.6992565,0.9427763,-0.2766922
21.3609825,20.3464026,-0.6889499,0.7248090,0.9022304,0.9355783,21.3609825,20.3464026,20.0519777,21.7235397,22.6699873,18.9692656,-0.6889499,0.7248090,0.6992565,0.9427763,-0.2766922
21.3312655,20.3808590,-0.6888073,0.7249445,0.9145145,0.9329011,21.3312655,20.3808590,20.0225316,21.7582535,22.6399994,19.0034645,-0.6888073,0.7249445,0.6951618,0.9748742,-0.2744076
21.3312655,20.3808590,-0.6888073,0.7249445,0.9145145,0.9329011,21.3312655,20.3808590,20.0225316,21.7582535,22.6399994,19.0034645,-0.6888073,0.7249445,0.6951618,0.9748742,-0.2744076
21.3312655,20.3808590,-0.6886609,0.7250835,0.9249743,0.9427763,21.3312655,20.3808590,20.0228097,21.7585178,22.6397212,19.0032003,-0.6886609,0.7250835,0.6916752,0.8276502,-0.2740255
21.3011954,20.4157496,-0.6886609,0.7250835,0.9249743,0.9427763,21.3011954,20.4157496,19.9927396,21.7934083,22.6096511,19.0380908,-0.6886609,0.7250835,0.6916752,1.0324594,-0.2721058
