x;y
15.3309;27.9474
15.3075;27.9706
15.2928;28.0048
15.2695;28.0281
15.2462;28.0515
15.2314;28.0855
15.2081;28.1088
15.1845;28.1319
15.1695;28.1658
15.1461;28.189
15.1226;28.2123
15.1078;28.2463
15.0841;28.2693
15.0605;28.2924
15.0377;28.3268
15.0223;28.3497
14.999;28.3731
14.9761;28.4074
14.9606;28.4302
14.9375;28.4644
14.9138;28.4874
14.8983;28.5102
14.8671;28.5447
14.8515;28.5674
14.8279;28.5905
14.8049;28.6248
14.7896;28.6477
14.7661;28.671
14.7433;28.7054
14.7282;28.7284
14.705;28.7627
14.6816;28.7859
14.6585;28.8094
14.6358;28.8439
14.6208;28.8671
14.5981;28.9017
14.5747;28.9249
14.5519;28.9593
14.5366;28.9822
14.5131;29.0054
14.4899;29.0395
14.466;29.0624
14.4427;29.0965
14.4273;29.1193
14.4039;29.1532
14.3798;29.176
14.3558;29.1987
14.3326;29.2328
14.3171;29.2556
14.2938;29.2789
14.271;29.3134
14.2477;29.3367
14.2252;29.3714
14.2103;29.3947
14.1878;29.4294
14.1646;29.4529
14.1499;29.487
14.1265;29.5102
14.1035;29.5446
14.0801;29.5678
14.0646;29.5906
14.0414;29.6247
14.0095;29.648
13.9944;29.6818
13.9708;29.7049
13.9477;29.7391
13.9241;29.7622
13.9005;29.7853
13.8857;29.8193
13.8624;29.8426
13.8394;29.877
13.8158;29.9001
13.793;29.9346
13.7778;29.9576
13.7549;29.9919
13.7311;30.0149
13.7082;30.0492
13.6849;30.0726
13.6703;30.1068
13.6469;30.1301
13.6233;30.1532
13.6005;30.1876
13.5771;30.2109
13.5622;30.2449
13.5385;30.2678
13.5154;30.302
13.4917;30.325
13.4682;30.3483
13.4535;30.3824
13.4304;30.4059
13.4076;30.4403
13.3843;30.4637
13.3616;30.4983
13.3385;30.5218
13.3233;30.5448
13.3002;30.579
13.2764;30.602
13.2532;30.6361
13.2296;30.6592
13.2143;30.6821
13.1912;30.7163
13.1677;30.7395
13.1448;30.7739
13.1213;30.7971
13.0985;30.8316
13.0833;30.8546
13.0599;30.8778
13.0371;30.9123
13.0136;30.9355
12.9989;30.9696
12.9754;30.9927
12.9522;31.0269
12.9287;31.0501
12.9055;31.0843
12.882;31.1074
12.8585;31.1306
12.8437;31.1646
12.8202;31.1878
12.7974;31.2223
12.7741;31.2457
12.7513;31.2801
12.7363;31.3033
12.7135;31.3377
12.6902;31.3611
12.6674;31.3955
12.6522;31.4186
12.6291;31.4528
12.6056;31.476
12.5822;31.4992
12.5592;31.5336
12.5357;31.5567
12.5207;31.5906
12.4972;31.6138
12.4741;31.648
12.4507;31.6712
12.4278;31.7057
12.4128;31.7288
12.3903;31.7636
12.3672;31.787
12.3445;31.8216
12.3296;31.8449
12.3068;31.8793
12.2837;31.9028
12.261;31.9374
12.238;31.961
12.2234;31.9953
12.2003;32.0187
12.177;32.0421
12.1542;32.0766
